epoch,batch_idx,data_type,tot_loss,run_time
1,3,train,0.06977401673793793,0.29093003273010254
1,4,train,0.07106427848339081,0.2865931987762451
1,5,train,0.06649849563837051,0.2850978374481201
1,6,train,0.06781911849975586,0.28215718269348145
1,7,train,0.07186034321784973,0.27526426315307617
1,8,train,0.0821298137307167,0.2840092182159424
1,9,train,0.06942859292030334,0.28034114837646484
1,10,train,0.06804479658603668,0.2843601703643799
1,11,train,0.07399517297744751,0.2851674556732178
1,12,train,0.07765063643455505,0.28398823738098145
1,13,train,0.08189122378826141,0.286052942276001
1,14,train,0.07501772046089172,0.2730228900909424
1,15,train,0.06749725341796875,0.27904605865478516
1,16,train,0.07334189116954803,0.28783559799194336
1,17,train,0.08386150002479553,0.2899632453918457
1,18,train,0.0783354640007019,0.27871131896972656
1,19,train,0.0855596512556076,0.28553009033203125
1,20,train,0.07111358642578125,0.2879946231842041
1,21,train,0.06885939836502075,0.2925443649291992
1,22,train,0.08238434046506882,0.2838325500488281
1,23,train,0.07814186811447144,0.28116583824157715
1,24,train,0.06924501061439514,0.29019808769226074
1,25,train,0.06980612874031067,0.2860398292541504
1,26,train,0.07702755928039551,0.27654337882995605
1,27,train,0.06686725467443466,0.2836742401123047
1,28,train,0.06773392856121063,0.2798118591308594
1,29,train,0.07097308337688446,0.28672218322753906
1,30,train,0.08555492758750916,0.286820650100708
1,31,train,0.0693385899066925,0.2799713611602783
1,32,train,0.07294066250324249,0.2865731716156006
1,33,train,0.06674972176551819,0.2787308692932129
1,34,train,0.07693363726139069,0.2980961799621582
1,35,train,0.0935785174369812,0.2904698848724365
1,36,train,0.07573443651199341,0.29320764541625977
1,37,train,0.06562328338623047,0.2860386371612549
1,38,train,0.06958095729351044,0.2832906246185303
1,39,train,0.07870066910982132,0.2971005439758301
1,40,train,0.07635687291622162,0.30111169815063477
1,41,train,0.08184729516506195,0.2932298183441162
1,42,train,0.06838733702898026,0.28087925910949707
1,43,train,0.06913155317306519,0.2968780994415283
